,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
0,1.39762,-0.0,-0.001367682,replica13,-0.03798818630301537
1,1.415241169,-0.000237024,-0.025475757,replica13,0.0051688710832294565
2,1.432862338,-0.001141791,-0.085256426,replica13,0.051201278914663126
3,1.450483506,-0.003609988,-0.211555373,replica13,0.0888288486925174
4,1.468104675,-0.009768844,-0.539317859,replica13,0.10500276875089631
5,1.485725844,-0.024971144,-1.2540074,replica13,0.0858932702610878
6,1.503347013,-0.057699924,-2.591024166,replica13,0.01774698091865272
7,1.520968182,-0.122803426,-5.022962448,replica13,-0.1124847788456609
8,1.538589351,-0.243464693,-8.97277376,replica13,-0.3167819186954872
9,1.556210519,-0.450625222,-14.899693114,replica13,-0.6059242414030128
10,1.573831688,-0.781998193,-23.040403347,replica13,-0.9895049477976198
11,1.591452857,-1.272400551,-32.819793584,replica13,-1.4759662436999592
12,1.609074026,-1.940546073,-42.931797472,replica13,-2.072528418275949
13,1.626695195,-2.777257478,-51.668362616,replica13,-2.784908821766808
14,1.644316364,-3.745529336,-57.714559257,replica13,-3.6167793247372026
15,1.661937532,-4.79387025,-60.87784374,replica13,-4.56898092142651
16,1.679558701,-5.882849161,-62.632944229,replica13,-5.638589136931009
17,1.69717987,-7.003634487,-64.787318279,replica13,-6.817989148243629
18,1.714801039,-8.175044177,-68.438400634,replica13,-8.094161258970129
19,1.732422208,-9.424071323,-73.418117011,replica13,-9.448385174814847
20,1.750043377,-10.760494503,-78.052036277,replica13,-10.856540381681484
21,1.767664545,-12.164152188,-80.813170102,replica13,-12.2901113411505
22,1.785285714,-13.592244034,-80.830614145,replica13,-13.717908354996121
23,1.802906883,-14.997255503,-78.260898249,replica13,-15.108401636659384
24,1.820528052,-16.339935377,-73.882097804,replica13,-16.432454866343395
25,1.838149221,-17.595486417,-68.458202653,replica13,-17.66615379850792
26,1.85577039,-18.749647731,-62.496700572,replica13,-18.79337186578367
27,1.873391558,-19.798822509,-56.632375478,replica13,-19.80770995138293
28,1.891012727,-20.748209037,-51.179833228,replica13,-20.71349643768316
29,1.908633896,-21.608058282,-46.539052138,replica13,-21.525633068128545
30,1.926255065,-22.393106749,-42.703900281,replica13,-22.268210868756128
31,1.943876234,-23.120793763,-40.14872718,replica13,-22.971980473143944
32,1.961497403,-23.817091879,-39.203267113,replica13,-23.67092052868394
33,1.979118571,-24.514898597,-40.3534756,replica13,-24.39828319375302
34,1.99673974,-25.248466795,-43.079306292,replica13,-25.182586202816886
35,2.014360909,-26.038016947,-46.644126943,replica13,-26.04405132872913
36,2.031982078,-26.896217388,-50.79563817,replica13,-26.991952169179978
37,2.049603247,-27.832691722,-55.635349878,replica13,-28.023232365964
38,2.067224416,-28.863473758,-61.508393507,replica13,-29.12260043990553
39,2.084845584,-30.002621344,-67.676918381,replica13,-30.264119250823523
40,2.102466753,-31.236499248,-71.780566281,replica13,-31.414111929882562
41,2.120087922,-32.505170982,-71.27474747,replica13,-32.535029119269595
42,2.137709091,-33.714356295,-65.12956017,replica13,-33.589789625476186
43,2.15533026,-34.775571283,-54.867278511,replica13,-34.54603759944172
44,2.172951429,-35.641208106,-43.42530801,replica13,-35.37976494411528
45,2.190572597,-36.314543904,-33.250662816,replica13,-36.07782832816497
46,2.208193766,-36.823066015,-24.693603345,replica13,-36.63903587488262
47,2.225814935,-37.190090339,-17.060253969,replica13,-37.07366990598065
48,2.243436104,-37.427687593,-10.050038293,replica13,-37.40152298729749
49,2.261057273,-37.554831995,-4.831866059,replica13,-37.648725848855506
50,2.278678442,-37.619641994,-3.251194694,replica13,-37.84380951458827
51,2.29629961,-37.698765763,-6.456626624,replica13,-38.013547229204285
52,2.313920779,-37.865122165,-12.70639123,replica13,-38.1791499305105
53,2.331541948,-38.145729367,-18.790459054,replica13,-38.35333798567977
54,2.349163117,-38.50353418,-20.94563699,replica13,-38.538688691546895
55,2.366784286,-38.85309013,-17.884885341,replica13,-38.72748076850388
56,2.384405455,-39.112327694,-11.118464137,replica13,-38.903048607848305
57,2.402026623,-39.242680911,-3.842877361,replica13,-39.04244941291935
58,2.419647792,-39.25987173,1.471259807,replica13,-39.12006473760066
59,2.437268961,-39.201573197,4.920846984,replica13,-39.11162937480927
60,2.45489013,-39.086125231,8.479729714,replica13,-38.99812263580515
61,2.472511299,-38.887474923,14.631237066,replica13,-38.76897736778089
62,2.490132468,-38.553137388,23.681806689,replica13,-38.42415719939619
63,2.507753636,-38.047253555,33.667045252,replica13,-37.974808715451864
64,2.525374805,-37.380009891,41.365047345,replica13,-37.44239043990611
65,2.542995974,-36.621640787,43.683349383,replica13,-36.856387416293366
66,2.560617143,-35.879391219,39.554022179,replica13,-36.25091033824874
67,2.578238312,-35.256932742,30.521087027,replica13,-35.66062588336887
68,2.595859481,-34.81457733,19.715199232,replica13,-35.11655073030335
69,2.613480649,-34.55009872,10.86941445,replica13,-34.642255172601914
70,2.631101818,-34.407191051,6.186137812,replica13,-34.2509629297327
71,2.648722987,-34.304848371,6.195217207,replica13,-33.94391131493427
72,2.666344156,-34.168124333,9.750157838,replica13,-33.71016834514383
73,2.683965325,-33.952078647,14.881916006,replica13,-33.527914299746556
74,2.701586494,-33.645417824,19.780344046,replica13,-33.36701046077778
75,2.719207662,-33.2638355,23.240987411,replica13,-33.19252162792548
76,2.736828831,-32.837468435,24.885906702,replica13,-32.96875102517704
77,2.75445,-32.391710694,25.655891162,replica13,-32.663298604084325
78,2.772071169,-31.929127693,27.100166234,replica13,-32.25066999121647
79,2.789692338,-31.423228521,30.744777599,replica13,-31.715038112788417
80,2.807313506,-30.83127542,36.812806387,replica13,-31.05187991400727
81,2.824934675,-30.119508249,43.983880934,replica13,-30.268358204701393
82,2.842555844,-29.289857058,49.733641671,replica13,-29.38247258561065
83,2.860177013,-28.386604402,52.176302383,replica13,-28.421143260593034
84,2.877798182,-27.472438298,51.103347727,replica13,-27.417500318326155
85,2.895419351,-26.59615308,48.230953541,replica13,-26.407717332430437
86,2.913040519,-25.767483746,46.150176631,replica13,-25.42774722960831
87,2.930661688,-24.954705159,46.521966768,replica13,-24.51029259202558
88,2.948282857,-24.117063377,48.702362561,replica13,-23.68228020361029
89,2.965904026,-23.24149472,50.306365608,replica13,-22.96302331244178
90,2.983525195,-22.366996294,48.16338495,replica13,-22.363159362229883
91,3.001146364,-21.577043974,40.529621278,replica13,-21.88436003990753
92,3.018767532,-20.970237041,27.64976922,replica13,-21.519736026315456
93,3.036388701,-20.617459975,12.299739689,replica13,-21.25480832061839
94,3.05400987,-20.529911664,-1.820173205,replica13,-21.06889403152592
95,3.071631039,-20.654646904,-11.312980639,replica13,-20.936754897079453
96,3.089252208,-20.888672407,-14.016716983,replica13,-20.83037545543319
97,3.106873377,-21.103945442,-9.245743475,replica13,-20.720766357239924
98,3.124494545,-21.176978618,1.808819214,replica13,-20.57971790943988
99,3.142115714,-21.017299402,16.65632076,replica13,-20.381452006231285
100,3.159736883,-20.589422093,31.612542223,replica13,-20.10413233166715
101,3.177358052,-19.925052328,42.936322672,replica13,-19.731191906282465
102,3.194979221,-19.112544652,48.161691461,replica13,-19.25242619103445
103,3.21260039,-18.263544466,47.337559995,replica13,-18.664784596326086
104,3.230221558,-17.464417521,43.084487473,replica13,-17.97278069518811
105,3.247842727,-16.743580625,39.058818565,replica13,-17.18843917552933
106,3.265463896,-16.069583726,38.066500384,replica13,-16.330711495369297
107,3.283085065,-15.381249428,40.528470388,replica13,-15.424325228499004
108,3.300706234,-14.630406164,44.77836871,replica13,-14.49808318527171
109,3.318327403,-13.806818758,48.375932524,replica13,-13.582692426000651
110,3.335948571,-12.941141468,49.355565802,replica13,-12.708271582887647
111,3.35356974,-12.087211312,47.01560928,replica13,-11.901746559963843
112,3.371190909,-11.300741835,41.893103624,replica13,-11.18438833184382
113,3.388812078,-10.62003683,35.225392285,replica13,-10.569762407896505
114,3.406433247,-10.061692642,28.175677571,replica13,-10.06234118599106
115,3.424054416,-9.623124556,21.752695484,replica13,-9.656976329499066
116,3.441675584,-9.287346431,16.610000689,replica13,-9.339342402254148
117,3.459296753,-9.027573042,13.196313047,replica13,-9.087354528909575
118,3.476917922,-8.810613039,11.752268398,replica13,-8.873445272071042
119,3.494539091,-8.601779819,12.218076868,replica13,-8.66747508484408
120,3.51216026,-8.372365409,14.000847571,replica13,-8.439962545823667
121,3.529781429,-8.104084634,16.549406287,replica13,-8.16526870056734
122,3.547402597,-7.786079724,19.637960439,replica13,-7.82436327496158
123,3.565023766,-7.407744914,23.436178863,replica13,-7.406842242812498
124,3.582644935,-6.955238942,28.04113642,replica13,-6.911952372641126
125,3.600266104,-6.418072929,32.900362613,replica13,-6.3484986121724125
126,3.617887273,-5.801630953,36.790143093,replica13,-5.733648982316025
127,3.635508442,-5.134927766,38.43049316,replica13,-5.090790484726558
128,3.65312961,-4.463707098,37.298281718,replica13,-4.446709405204726
129,3.670750779,-3.833077239,34.002946044,replica13,-3.8284536908276166
130,3.688371948,-3.270753949,29.772890438,replica13,-3.260271967175948
131,3.705993117,-2.782869562,25.676708431,replica13,-2.761008006266513
132,3.723614286,-2.363088301,22.023369847,replica13,-2.3422632349844505
133,3.741235455,-2.006374516,18.417895762,replica13,-2.0075325210175716
134,3.758856623,-1.715949386,14.485361037,replica13,-1.7523851511988595
135,3.776477792,-1.497492117,10.277868606,replica13,-1.5656224236242051
136,3.794098961,-1.351739189,6.37385656,replica13,-1.4312153043721496
137,3.81172013,-1.26657922,3.535216468,replica13,-1.330727870936821
