,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
118,3.332206883,-14.369144775,-5.253409191,replica13,-14.440900797117525
119,3.349823636,-14.468576089,-5.749694886,replica13,-14.447481571336214
120,3.36744039,-14.568033914,-5.617196008,replica13,-14.491423762218398
121,3.385057143,-14.671210324,-6.248977432,replica13,-14.56278571894677
122,3.402673896,-14.790410747,-7.238888196,replica13,-14.649932614518283
123,3.420290649,-14.918326565,-6.92496238,replica13,-14.740293428856901
124,3.437907403,-15.019189927,-4.036550416,replica13,-14.821176319193983
125,3.455524156,-15.046415502,1.277787137,replica13,-14.88058870517072
126,3.473140909,-14.967835045,7.620531864,replica13,-14.908008297203901
127,3.490757662,-14.784697598,12.844548873,replica13,-14.89505478193906
128,3.508374416,-14.531528388,15.353181985,replica13,-14.836018701583793
129,3.525991169,-14.262962318,14.642246936,replica13,-14.728213752464367
130,3.543607922,-14.029797584,11.573960318,replica13,-14.572130617389229
131,3.561224675,-13.859184132,7.830793119,replica13,-14.371383724660463
132,3.578841429,-13.749746701,4.809088316,replica13,-14.132456091404272
133,3.596458182,-13.680428852,3.278271067,replica13,-13.864260729184053
134,3.614074935,-13.626234879,3.033180219,replica13,-13.57754906972753
135,3.631691688,-13.569255613,3.509208972,replica13,-13.284206708603127
136,3.649308442,-13.499635765,4.492019407,replica13,-12.996483816165043
137,3.666925195,-13.40554792,6.412501629,replica13,-12.726211373855001
138,3.684541948,-13.264397737,9.936247035,replica13,-12.484054730311465
139,3.702158701,-13.045264513,15.142161312,replica13,-12.278852844869082
140,3.719775455,-12.728806911,20.675366424,replica13,-12.117085241735875
141,3.737392208,-12.328569068,24.2329354,replica13,-12.002499600234852
142,3.755008961,-11.898420684,23.818448894,replica13,-11.935921703230946
143,3.772625714,-11.517406365,18.673739984,replica13,-11.915256943730347
144,3.790242468,-11.263618646,9.663033895,replica13,-11.93567961794528
145,3.807859221,-11.187300956,-1.077923963,replica13,-11.989993703199104
146,3.825475974,-11.294559348,-10.679871814,replica13,-12.069137582402407
147,3.843092727,-11.542701039,-16.734268175,replica13,-12.16279598652324
148,3.860709481,-11.854494742,-17.839506654,replica13,-12.260075885867483
149,3.878326234,-12.144930512,-14.54569812,replica13,-12.350199583348443
150,3.895942987,-12.354340063,-9.104889726,replica13,-12.423168044659816
151,3.91355974,-12.470696153,-4.483335502,replica13,-12.470350509524302
152,3.931176494,-12.529951137,-2.808858772,replica13,-12.484962409549363
153,3.948793247,-12.586959742,-3.982561706,replica13,-12.462402112972699
154,3.96641,-12.674532147,-5.817635721,replica13,-12.40042739705378
155,3.984026753,-12.780767884,-5.703854415,replica13,-12.299164064267297
156,4.001643506,-12.852238882,-1.739189127,replica13,-12.1609509488647
157,4.01926026,-12.819526477,5.987165458,replica13,-11.990036875058909
158,4.036877013,-12.629193035,15.798170624,replica13,-11.792155143943896
159,4.054493766,-12.263733587,25.443533251,replica13,-11.574009162250396
160,4.072110519,-11.746396735,32.789701595,replica13,-11.342708349849788
161,4.089727273,-11.131138354,36.370143642,replica13,-11.10519612659951
162,4.107344026,-10.49038629,35.65998102,replica13,-10.867711441273388
163,4.124960779,-9.899117451,30.827852192,replica13,-10.63532203842368
164,4.142577532,-9.423115993,22.80242151,replica13,-10.411561741536191
165,4.160194286,-9.106890777,12.913012785,replica13,-10.19819592478446
166,4.177811039,-8.96872119,2.925282012,replica13,-9.995129661464292
167,4.195427792,-8.995788573,-5.614551765,replica13,-9.80046248827727
168,4.213044545,-9.148186899,-11.09384288,replica13,-9.6106830755133
169,4.230661299,-9.363584627,-12.673828464,replica13,-9.420987104261249
170,4.248278052,-9.5700837,-10.111521122,replica13,-9.225693025265986
171,4.265894805,-9.698798215,-3.986353091,replica13,-9.018723704689831
172,4.283511558,-9.695223017,4.705200351,replica13,-8.794117696082807
173,4.301128312,-9.526233161,14.570373324,replica13,-8.546532283237323
174,4.318745065,-9.183156574,24.226666748,replica13,-8.27170158812935
175,4.336361818,-8.681912794,32.347717941,replica13,-7.966816807039478
176,4.353978571,-8.057084244,38.108599689,replica13,-7.630801715437247
177,4.371595325,-7.356604199,40.894414633,replica13,-7.264464496415579
178,4.389212078,-6.635602779,40.431108117,replica13,-6.870516101480103
179,4.406828831,-5.950228835,36.899626528,replica13,-6.453455069053226
180,4.424445584,-5.349863497,30.974488436,replica13,-6.019328297325554
181,4.442062338,-4.866412781,23.846337177,replica13,-5.575386007127942
182,4.459679091,-4.506811666,17.203371498,replica13,-5.129656420442666
183,4.477295844,-4.248293065,12.576109693,replica13,-4.6904710178016105
184,4.494912597,-4.047591207,10.679860913,replica13,-4.265974268309262
185,4.512529351,-3.857365577,11.240171167,replica13,-3.863652266561324
186,4.530146104,-3.643609663,13.145512946,replica13,-3.4899127613327656
187,4.547762857,-3.394485184,15.056672208,replica13,-3.1497448019353573
