,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
0,1.22359,-0.0,-0.0,replica13,1.3277624727011386
1,1.241232778,-5.2233e-05,-0.005925669,replica13,-0.4011016704149739
2,1.258875556,-0.000294184,-0.02509536,replica13,-1.094523861878443
3,1.276518333,-0.001106172,-0.072724954,replica13,-1.1043545121407874
4,1.294161111,-0.003119852,-0.167099215,replica13,-0.7160650595995222
5,1.311803889,-0.007547576,-0.363362706,replica13,-0.15546071937498418
6,1.329446667,-0.017089659,-0.761690334,replica13,0.40462079514409055
7,1.347089444,-0.036791996,-1.572089243,replica13,0.8377229379161335
8,1.364732222,-0.076571708,-3.116537291,replica13,1.0573837405553235
9,1.382375,-0.153931219,-5.901991855,replica13,1.011024851841924
10,1.400017778,-0.296847424,-10.734606144,replica13,0.6741803653787173
11,1.417660556,-0.549686536,-18.481247824,replica13,0.04511782564431144
12,1.435303333,-0.969316913,-29.656596597,replica13,-0.8601078138429159
13,1.452946111,-1.61548106,-44.02208982,replica13,-2.0121377890332894
14,1.470588889,-2.53364143,-60.224122192,replica13,-3.3723119751367108
15,1.488231667,-3.741475278,-76.539300501,replica13,-4.8961816270385725
16,1.505874444,-5.22644416,-91.472160979,replica13,-6.53653322969933
17,1.523517222,-6.957325926,-104.404975276,replica13,-8.245932791484165
18,1.54116,-8.89626366,-114.950181648,replica13,-9.978807480335178
19,1.558802778,-10.993077883,-122.007083074,replica13,-11.69308806550859
20,1.576445556,-13.168486203,-123.450188687,replica13,-13.351441149999715
21,1.594088333,-15.301338934,-116.86616515,replica13,-14.922124646258794
22,1.611731111,-17.241293115,-101.697478026,replica13,-16.379503365150313
23,1.629373889,-18.851750087,-80.158724023,replica13,-17.704263979559613
24,1.647016667,-20.060851289,-57.160975838,replica13,-18.88337003084014
25,1.664659444,-20.892200089,-38.145621883,replica13,-19.90979812408031
26,1.682302222,-21.452625325,-26.770849953,replica13,-20.782096077842233
27,1.699945,-21.88260082,-23.094189344,replica13,-21.503802634662172
28,1.717587778,-22.292285428,-23.641921802,replica13,-22.082766491695452
29,1.735230556,-22.708715107,-22.914382516,replica13,-22.530399970861637
30,1.752873333,-23.067693796,-16.697859466,replica13,-22.860899716840937
31,1.770516111,-23.261225238,-4.520924324,replica13,-23.09046349066358
32,1.788158889,-23.217933669,9.132917984,replica13,-23.23652851969291
33,1.805801667,-22.970436132,17.557106906,replica13,-23.317053072112202
34,1.823444444,-22.656449484,16.282049544,replica13,-23.349859041491698
35,1.841087222,-22.448743432,6.195087366,replica13,-23.352049446689136
36,1.85873,-22.45464335,-6.704949395,replica13,-23.339510957116588
37,1.876372778,-22.659649157,-15.435804914,replica13,-23.32650791984551
38,1.894015556,-22.952233836,-16.453394508,replica13,-23.32537095892664
39,1.911658333,-23.204200517,-11.524588902,replica13,-23.346280095365586
40,1.929301111,-23.354746515,-5.866719325,replica13,-23.39713954402157
41,1.946943889,-23.435188322,-4.132281255,replica13,-23.483538916616
42,1.964586667,-23.533536259,-7.854013918,replica13,-23.608793521889993
43,1.982229444,-23.732433514,-15.032069438,replica13,-23.774054818986315
44,1.999872222,-24.065025755,-22.41831181,replica13,-23.978480851089813
45,2.017515,-24.504274654,-26.717182044,replica13,-24.21945565816833
46,2.035157778,-24.98181422,-26.647878922,replica13,-24.49284622440993
47,2.052800556,-25.419952049,-22.420625321,replica13,-24.793285435968485
48,2.070443333,-25.757234561,-15.516695522,replica13,-25.114469777948344
49,2.088086111,-25.963205395,-7.94639493,replica13,-25.44946105082562
50,2.105728889,-26.049344121,-2.310085563,replica13,-25.790982196699986
51,2.123371667,-26.066949532,-0.466927022,replica13,-26.131698351464493
52,2.141014444,-26.093323471,-3.296992069,replica13,-26.46447543501047
53,2.158657222,-26.204999166,-9.78388455,replica13,-26.782609912621954
54,2.1763,-26.444391381,-17.278220912,replica13,-27.080024760671847
55,2.193942778,-26.804003493,-22.980448251,replica13,-27.35142810399846
56,2.211585556,-27.23555288,-25.355300657,replica13,-27.592432419869716
57,2.229228333,-27.682714897,-25.013555697,replica13,-27.799633583938522
58,2.246871111,-28.111643761,-23.497790255,replica13,-27.970650333386885
59,2.264513889,-28.510142782,-21.608146662,replica13,-28.10412591051508
60,2.282156667,-28.86733659,-18.552145206,replica13,-28.19969470035589
61,2.299799444,-29.147776797,-12.627885651,replica13,-28.2579175696887
