,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
0,1.46208,-0.0,-0.0,replica13,-0.7228129843236758
1,1.47974134,-0.000142969,-0.022559352,replica13,0.07342758694875084
2,1.49740268,-0.001091117,-0.096839091,replica13,0.48866139929902497
3,1.515064021,-0.004441721,-0.310875465,replica13,0.6015365230998531
4,1.532725361,-0.013479085,-0.77018493,replica13,0.4895093214094641
5,1.550386701,-0.034587192,-1.736422842,replica13,0.22536065071530853
6,1.568048041,-0.079096427,-3.453152017,replica13,-0.12578729104993958
7,1.585709381,-0.162295683,-6.135764269,replica13,-0.5088338161053887
8,1.603370722,-0.302040648,-9.85388768,replica13,-0.8803595824254685
9,1.621032062,-0.515403475,-14.417825318,replica13,-1.2095407066541621
10,1.638693402,-0.813193981,-19.274429896,replica13,-1.478315303023791
11,1.656354742,-1.19239573,-23.456844139,replica13,-1.6808400775425474
12,1.674016082,-1.630915842,-25.78252186,replica13,-1.8223106180148738
13,1.691677423,-2.084963953,-25.061127475,replica13,-1.9172497089995726
14,1.709338763,-2.49566447,-20.86531327,replica13,-1.9873918526635246
15,1.727000103,-2.805823949,-13.93334069,replica13,-2.059308094947176
16,1.744661443,-2.983132226,-6.254915053,replica13,-2.161922614624033
17,1.762322784,-3.040127084,-0.82237481,replica13,-2.3240711984873546
18,1.779984124,-3.041143986,-0.267070059,replica13,-2.5722420576876885
19,1.797645464,-3.085873817,-5.81585083,replica13,-2.9286222558893145
20,1.815306804,-3.278889668,-16.786055361,replica13,-3.409549538742466
21,1.832968144,-3.695727229,-30.599628976,replica13,-4.024441117797424
22,1.850629485,-4.357682789,-44.029855327,replica13,-4.775239738131116
23,1.868290825,-5.233124217,-54.473953557,replica13,-5.656385034307225
24,1.885952165,-6.258138124,-60.954501885,replica13,-6.655286647903496
25,1.903613505,-7.367665015,-64.3198618,replica13,-7.75324663364035
26,1.921274845,-8.523512443,-66.55167477,replica13,-8.926753908942338
27,1.938936186,-9.721944694,-69.383982056,replica13,-10.149054202477327
28,1.956597526,-10.982203565,-73.516053221,replica13,-11.391886072145791
29,1.974258866,-12.320338012,-77.948216518,replica13,-12.62726763069487
30,1.991920206,-13.72522216,-80.66354423,replica13,-13.82921975305815
31,2.009581546,-15.146635627,-79.517199267,replica13,-14.975319441087834
32,2.027242887,-16.503915402,-73.365482629,replica13,-16.047990997506666
33,2.044904227,-17.713157058,-63.048402409,replica13,-17.035461683964026
34,2.062565567,-18.720989329,-51.03497046,replica13,-17.932331314061837
35,2.080226907,-19.522262756,-40.050088578,replica13,-18.73973028522873
36,2.097888247,-20.150272807,-31.506069815,replica13,-19.465066318445896
37,2.115549588,-20.648515298,-25.211437187,replica13,-20.12138509385506
38,2.133210928,-21.045869462,-19.863987525,replica13,-20.726392584365247
39,2.150872268,-21.351844385,-14.94981163,replica13,-21.301205923243476
40,2.168533608,-21.586285747,-12.20074473,replica13,-21.86891407441042
41,2.186194948,-21.813148586,-14.578971186,replica13,-22.453038692709608
42,2.203856289,-22.144688172,-24.120340364,replica13,-23.075988994017962
43,2.221517629,-22.700510759,-39.506098972,replica13,-23.75760218309211
44,2.239178969,-23.548253368,-56.228597889,replica13,-24.513853335135476
45,2.256840309,-24.666117969,-69.470027068,replica13,-25.355806232742946
46,2.274501649,-25.96785921,-76.942218383,replica13,-26.288860425010938
47,2.29216299,-27.35360292,-79.347734259,replica13,-27.31233080328878
48,2.30982433,-28.751424771,-78.565775646,replica13,-28.41937550911921
49,2.32748567,-30.115619299,-75.631626456,replica13,-29.59726728383606
50,2.34514701,-31.411911837,-70.914839303,replica13,-30.827983684596415
51,2.362808351,-32.616584014,-65.58147515,replica13,-32.089074070729765
52,2.380469691,-33.739565173,-62.157397846,replica13,-33.35474687716213
53,2.398131031,-34.835409485,-62.617038818,replica13,-34.59711018235932
54,2.415792371,-35.966311991,-65.521595227,replica13,-35.78749242698939
55,2.433453711,-37.13665045,-66.211314333,replica13,-36.897768542559106
56,2.451115052,-38.264489086,-60.118622368,replica13,-37.90161961692539
57,2.468776392,-39.216523008,-46.682346123,replica13,-38.77566119608483
58,2.486437732,-39.89289779,-29.796928629,replica13,-39.5003858015329
59,2.504099072,-40.280666124,-14.79658022,replica13,-40.06087844057789
60,2.521760412,-40.44188567,-4.175350457,replica13,-40.447278878922546
61,2.539421753,-40.44402923,3.780092967,replica13,-40.65498023404711
62,2.557083093,-40.303049953,12.615543256,replica13,-40.684569031131275
63,2.574744433,-39.985800328,23.579605648,replica13,-40.541526293851426
64,2.592405773,-39.470257871,34.462944338,replica13,-40.23572168812091
65,2.610067113,-38.794331186,41.06271391,replica13,-39.780742528015026
66,2.627728454,-38.061044829,40.757571602,replica13,-39.1931061187021
67,2.645389794,-37.393652957,33.943762474,replica13,-38.49140720077129
68,2.663051134,-36.879207402,24.211148217,replica13,-37.69545215108512
69,2.680712474,-36.527708203,16.270812897,replica13,-36.825428283882395
70,2.698373814,-36.269104307,14.241401151,replica13,-35.901150476523156
71,2.716035155,-35.977452416,20.102118723,replica13,-34.94141897459654
72,2.733696495,-35.516724723,33.072628016,replica13,-33.96351228857163
73,2.751357835,-34.785998706,49.978466485,replica13,-32.982828326276234
74,2.769019175,-33.75186395,66.79227696,replica13,-32.012676077225
75,2.786680515,-32.451473129,79.605294173,replica13,-31.064210006893813
76,2.804341856,-30.97362547,86.757428261,replica13,-30.146490480282495
77,2.822003196,-29.424449934,87.689274733,replica13,-29.26664654120362
78,2.839664536,-27.912228516,82.575983809,replica13,-28.430112600610837
79,2.857325876,-26.542148329,71.626255152,replica13,-27.64090823597126
80,2.874987216,-25.412982109,55.541785634,replica13,-26.901930397589503
81,2.892648557,-24.596932755,36.734372565,replica13,-26.21522970735981
82,2.910309897,-24.108465474,19.176214392,replica13,-25.582246915514332
83,2.927971237,-23.889681639,6.605287386,replica13,-25.00399151830189
84,2.945632577,-23.834749228,0.718645128,replica13,-24.481151508240494
85,2.963293918,-23.831198153,0.374705325,replica13,-24.01413065067196
86,2.980955258,-23.80588793,2.665882037,replica13,-23.603016968808983
87,2.998616598,-23.737924315,4.889819673,replica13,-23.247492720485727
88,3.016277938,-23.638811928,6.221396277,replica13,-22.94670158135091
89,3.033939278,-23.520133612,7.271574744,replica13,-22.699092633342826
90,3.051600619,-23.377408741,9.08888102,replica13,-22.5022628441534
91,3.069261959,-23.193784606,11.75029521,replica13,-22.35281990557172
92,3.086923299,-22.963995113,14.089549133,replica13,-22.246285614691953
93,3.104584639,-22.708016922,14.499013504,replica13,-22.177056609761625
94,3.122245979,-22.464813724,12.725440957,replica13,-22.138434512257362
95,3.13990732,-22.265423914,9.867394529,replica13,-22.122731776441434
96,3.15756866,-22.110968493,7.889356732,replica13,-22.12145327101479
