,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
0,0.712301,-0.0,-0.001367707,replica13,-0.07267495025607218
1,0.729945481,-0.000158771,-0.01939058,replica13,0.13436928633421985
2,0.747589963,-0.000758078,-0.055415481,replica13,0.15214373383270186
3,0.765234444,-0.002384493,-0.140406375,replica13,0.07282541626639727
4,0.782878926,-0.006255805,-0.324597988,replica13,-0.04023779117548543
5,0.800523407,-0.014619486,-0.648797622,replica13,-0.14724914978711467
6,0.818167889,-0.030179962,-1.146275179,replica13,-0.22718949663865828
7,0.83581237,-0.056241309,-1.838673994,replica13,-0.2735530859875155
8,0.853456852,-0.096212004,-2.72002371,replica13,-0.2905896447174854
9,0.871101333,-0.15318032,-3.767376129,replica13,-0.29004213586833316
10,0.888745815,-0.230036506,-4.976049571,replica13,-0.28836326913963717
11,0.906390296,-0.330129412,-6.420512122,replica13,-0.3043882296706073
12,0.924034778,-0.459291199,-8.323997831,replica13,-0.3574364274831936
13,0.941679259,-0.628194391,-10.978420357,replica13,-0.46581129449648984
14,0.959323741,-0.853257417,-14.730367684,replica13,-0.6456642573843503
15,0.976968222,-1.155107048,-19.661479609,replica13,-0.9101869611018607
16,0.994612704,-1.552900159,-25.518601397,replica13,-1.269094570056211
17,1.012257185,-2.057248784,-31.62621106,replica13,-1.7283624793333061
18,1.029901667,-2.664744362,-37.043047443,replica13,-2.2901789694280055
19,1.047546148,-3.355112658,-40.880472998,replica13,-2.9530771672771294
20,1.06519063,-4.093384982,-42.378899888,replica13,-3.7122110644453556
21,1.082835111,-4.836001752,-41.417450083,replica13,-4.5597422145552
22,1.100479593,-5.544526132,-38.738990564,replica13,-5.485306009911099
23,1.118124074,-6.20302833,-36.116679796,replica13,-6.4765290438229215
24,1.135768556,-6.834886745,-36.157454242,replica13,-7.519571924400793
25,1.153413037,-7.508323413,-41.093908229,replica13,-8.599674940242181
26,1.171057519,-8.318107373,-51.560364524,replica13,-9.701687118699539
27,1.188702,-9.351168607,-65.928944539,replica13,-10.810562393164048
28,1.206346481,-10.647563313,-80.745051607,replica13,-11.911809744983145
29,1.223990963,-12.179031577,-91.919881584,replica13,-12.991887249451821
30,1.241635444,-13.851163965,-96.386949953,replica13,-14.038532884060032
31,1.259279926,-15.534266988,-93.096747041,replica13,-15.041027704506917
32,1.276924407,-17.094863488,-82.780206271,replica13,-15.990389523433294
33,1.294568889,-18.426877139,-67.615008154,replica13,-16.879497508322174
34,1.31221337,-19.468759765,-50.344494655,replica13,-17.703150124477645
35,1.329857852,-20.207477535,-33.709453566,replica13,-18.458060571581413
36,1.347502333,-20.674118703,-19.739023766,replica13,-19.142795289150925
37,1.365146815,-20.926871163,-9.567005839,replica13,-19.757662234266448
38,1.382791296,-21.031041403,-2.784142452,replica13,-20.304556468251512
39,1.400435778,-21.040242462,1.36857657,replica13,-20.786771139267465
40,1.418080259,-20.993114716,3.693859401,replica13,-21.208782225157275
41,1.435724741,-20.922412542,3.992662483,replica13,-21.57601542984557
42,1.453369222,-20.866395548,1.938669775,replica13,-21.894603425558444
43,1.471013704,-20.868331054,-2.525581674,replica13,-22.171141229931834
44,1.488658185,-20.965552504,-8.692225815,replica13,-22.412446929934823
45,1.506302667,-21.177607872,-15.332729968,replica13,-22.625334242039628
46,1.523947148,-21.502619581,-21.345452747,replica13,-22.816402560056602
47,1.54159163,-21.922061594,-25.865655441,replica13,-22.991849222836294
48,1.559236111,-22.403426372,-28.312736942,replica13,-23.15730775698171
49,1.576880593,-22.905858158,-28.261403066,replica13,-23.317714850474218
50,1.594525074,-23.388567344,-26.257421383,replica13,-23.477207814921883
51,1.612169556,-23.829390977,-23.736702393,replica13,-23.639053322637466
52,1.629814037,-24.233100466,-22.254814316,replica13,-23.805607283767458
53,1.647458519,-24.621979602,-21.931034978,replica13,-23.9783048770517
54,1.665103,-25.0049609,-21.25706767,replica13,-24.157678982375927
55,1.682747481,-25.359709045,-18.525355306,replica13,-24.343404596952382
56,1.700391963,-25.643451599,-13.296130524,replica13,-24.534366262055983
57,1.718036444,-25.823636661,-7.12440014,replica13,-24.728745086292008
58,1.735680926,-25.899780395,-1.780652863,replica13,-24.92412163322078
59,1.753325407,-25.896203184,1.916621408,replica13,-25.117590741600054
60,1.770969889,-25.836410915,4.871949689,replica13,-25.30588426419851
61,1.78861437,-25.723839757,7.961712576,replica13,-25.485497743997513
62,1.806258852,-25.558108464,10.601239513,replica13,-25.652817179913896
63,1.823903333,-25.36476802,10.723119322,replica13,-25.804242266243307
64,1.841547815,-25.203120292,6.935320307,replica13,-25.936302802054968
65,1.859192296,-25.140191201,-0.20225186,replica13,-26.045765350408402
66,1.876836778,-25.214690177,-8.098293525,replica13,-26.129727666596757
67,1.894481259,-25.411414201,-13.607637899,replica13,-26.18569889545425
68,1.912125741,-25.672514462,-15.331268049,replica13,-26.211664043835217
69,1.929770222,-25.93078766,-13.484229198,replica13,-26.206131755527984
70,1.947414704,-26.135444419,-9.481405366,replica13,-26.168164930812154
71,1.965059185,-26.261736875,-4.788624423,replica13,-26.09739423404082
72,1.982703667,-26.30473925,-0.081257125,replica13,-25.994015007802084
73,2.000348148,-26.26355863,4.814463899,replica13,-25.85876854274356
74,2.01799263,-26.131773691,10.182215854,replica13,-25.692909041794096
75,2.035637111,-25.90274951,15.779442276,replica13,-25.498157943323847
76,2.053281593,-25.577628123,20.95826441,replica13,-25.276647538472943
77,2.070926074,-25.171370919,24.805431218,replica13,-25.030856016849967
78,2.088570556,-24.714307409,26.648357679,replica13,-24.76353620904753
79,2.106215037,-24.243931612,26.309321492,replica13,-24.477640358575343
80,2.123859519,-23.794121813,24.502364897,replica13,-24.176243252448074
81,2.141504,-23.382976169,22.097557646,replica13,-23.86246597334403
82,2.159148481,-23.011237616,20.154406881,replica13,-23.539402409085426
83,2.176792963,-22.66700578,18.967374693,replica13,-23.210050475641907
84,2.194437444,-22.339388379,18.137205359,replica13,-22.877249783441243
85,2.212081926,-22.032128465,16.459826237,replica13,-22.543627211623487
86,2.229726407,-21.769782263,12.905845974,replica13,-22.211551561328804
87,2.247370889,-21.588717606,7.327445159,replica13,-21.883098143051654
88,2.26501537,-21.51679987,0.864789037,replica13,-21.560023829042308
89,2.282659852,-21.549177076,-4.089874047,replica13,-21.24375277147263
90,2.300304333,-21.638693445,-5.314296267,replica13,-20.93537266946025
91,2.317948815,-21.709600857,-1.951175708,replica13,-20.635641160886635
92,2.335593296,-21.68487591,5.252713752,replica13,-20.345001634620928
93,2.353237778,-21.511912425,14.505552467,replica13,-20.06360750858496
94,2.370882259,-21.17271629,23.776181681,replica13,-19.791353803761282
95,2.388526741,-20.682313874,31.474358996,replica13,-19.527914670841398
96,2.406171222,-20.075310434,36.933722466,replica13,-19.272785398844405
97,2.423815704,-19.393232391,39.993173386,replica13,-19.02532735199709
98,2.441460185,-18.677027528,40.82415269,replica13,-18.784814247136005
99,2.459104667,-17.96495539,39.515660859,replica13,-18.550478198458393
100,2.476749148,-17.295435907,35.977075925,replica13,-18.321554014030134
101,2.49439363,-16.708449539,30.187865154,replica13,-18.09732033125347
102,2.512038111,-16.243689361,22.146415201,replica13,-17.877136319099478
103,2.529682593,-15.938338155,12.238221368,replica13,-17.66047284952127
104,2.547327074,-15.814853941,1.769800029,replica13,-17.4469372449326
105,2.564971556,-15.86901964,-7.584032686,replica13,-17.236290931558912
106,2.582616037,-16.067075063,-14.294562613,replica13,-17.028459571704616
107,2.600260519,-16.352040556,-17.368610522,replica13,-16.82353549509483
108,2.617905,-16.658275761,-16.759704903,replica13,-16.621772498262118
109,2.635549481,-16.9250874,-13.077311376,replica13,-16.423573326616605
110,2.653193963,-17.107642205,-7.372146181,replica13,-16.22947038187749
111,2.670838444,-17.179397027,-0.659116051,replica13,-16.04010041007632
112,2.688482926,-17.129929999,6.216244479,replica13,-15.856174110882733
113,2.706127407,-16.963438827,12.479277065,replica13,-15.678441764973769
114,2.723771889,-16.697159058,17.42630112,replica13,-15.50765609788408
115,2.74141637,-16.358369071,20.716235655,replica13,-15.344533683662632
116,2.759060852,-15.975711463,22.452489787,replica13,-15.189716236031927
117,2.776705333,-15.571837671,23.16963583,replica13,-15.043733140299992
118,2.794349815,-15.162844715,23.052244728,replica13,-14.906966542692288
119,2.811994296,-14.76417882,21.938192996,replica13,-14.779620240150209
120,2.829638778,-14.395382316,19.663222767,replica13,-14.66169350089529
121,2.847283259,-14.077000691,16.282949554,replica13,-14.552960801926346
122,2.864927741,-13.825144932,12.208431099,replica13,-14.452958294266168
123,2.882572222,-13.646598536,8.057846279,replica13,-14.360977608094919
124,2.900216704,-13.538079662,4.30068244,replica13,-14.276067391514367
125,2.917861185,-13.492628495,0.921811847,replica13,-14.197042746017996
126,2.935505667,-13.503018046,-2.016165267,replica13,-14.12250248430879
127,2.953150148,-13.560859761,-4.435997175,replica13,-14.050853899190166
128,2.97079463,-13.654874492,-6.052781985,replica13,-13.980344502025403
129,2.988439111,-13.767387454,-6.500253424,replica13,-13.909099971967407
130,3.006083593,-13.87575675,-5.537147861,replica13,-13.835167361165787
131,3.023728074,-13.954688023,-3.165130468,replica13,-13.75656242676375
132,3.041372556,-13.979221977,0.582771682,replica13,-13.671319820194412
133,3.059017037,-13.928747466,5.211958083,replica13,-13.577544755366262
134,3.076661519,-13.794747377,9.938692189,replica13,-13.473464706476818
135,3.094306,-13.581811522,14.018073874,replica13,-13.357479657008128
136,3.111950481,-13.30929091,16.575326059,replica13,-13.228209431318248
137,3.129594963,-13.009063539,17.094399937,replica13,-13.08453669153576
138,3.147239444,-12.720094723,15.259293823,replica13,-12.92564427643282
139,3.164883926,-12.4841036,11.179842171,replica13,-12.751045689352765
140,3.182528407,-12.332378814,5.940028317,replica13,-12.560607707328074
141,3.200172889,-12.271516004,1.236743865,replica13,-12.354564282952595
142,3.21781737,-12.273895808,-0.933074628,replica13,-12.13352113355269
143,3.235461852,-12.28158008,0.74986395,replica13,-11.898450656909489
144,3.253106333,-12.224560855,6.279834355,replica13,-11.6506770728991
145,3.270750815,-12.045676741,14.250914276,replica13,-11.391851955934357
146,3.288395296,-11.719773005,22.579395679,replica13,-11.123920592582976
147,3.306039778,-11.26020731,29.062610373,replica13,-10.84907985633933
148,3.323684259,-10.715283343,32.037652377,replica13,-10.569728542552305
149,3.341328741,-10.154366773,30.865491682,replica13,-10.288411329570074
150,3.358973222,-9.647738024,26.094116508,replica13,-10.007757732746303
151,3.376617704,-9.245215863,19.427300864,replica13,-9.730417584140591
152,3.394262185,-8.960351817,13.053005094,replica13,-9.458994698089032
153,3.411906667,-8.773595255,8.484699183,replica13,-9.195980469091708
154,3.429551148,-8.64734053,6.189967037,replica13,-8.943689187855497
155,3.44719563,-8.544266296,5.762024389,replica13,-8.704196855111974
156,3.464840111,-8.437157408,6.535816334,replica13,-8.479285214785634
157,3.482484593,-8.308953202,8.143476641,replica13,-8.270392627132807
158,3.500129074,-8.14741505,10.197466833,replica13,-8.078573250541112
159,3.517773556,-7.94996875,12.095852079,replica13,-7.904465807772695
160,3.535418037,-7.72599706,13.043670964,replica13,-7.748272981181486
161,3.553062519,-7.500573771,12.170667227,replica13,-7.609752213534421
162,3.570707,-7.308161013,9.340230861,replica13,-7.488218400160719
163,3.588351481,-7.178885037,5.168338615,replica13,-7.3825586412504265
164,3.605995963,-7.126754452,0.845047949,replica13,-7.291258899719509
165,3.623640444,-7.142392704,-2.305047785,replica13,-7.212442078593426
166,3.641284926,-7.195026334,-3.229698652,replica13,-7.143916706641534
167,3.658929407,-7.242421556,-1.778103253,replica13,-7.083235110846459
168,3.676573889,-7.247810841,1.302870987,replica13,-7.0277596641602145
169,3.69421837,-7.196897481,4.327124678,replica13,-6.97473543965333
170,3.711862852,-7.104339705,5.814323375,replica13,-6.92136738363449
171,3.729507333,-7.004547546,5.180227798,replica13,-6.864899946301392
172,3.747151815,-6.929304731,3.260394758,replica13,-6.802696988118683
173,3.764796296,-6.887532073,1.661520218,replica13,-6.732319715267536
174,3.782440778,-6.861667868,1.586554621,replica13,-6.6516003942813455
175,3.800085259,-6.820014668,3.418682322,replica13,-6.558709653300184
176,3.817729741,-6.733576252,6.529206547,replica13,-6.452215299541869
177,3.835374222,-6.586661196,10.148349893,replica13,-6.331130766003387
178,3.853018704,-6.376578293,13.588909224,replica13,-6.194951540150055
179,3.870663185,-6.110971278,16.370965026,replica13,-6.043678224318198
180,3.888307667,-5.805102567,18.074040791,replica13,-5.877825222239757
181,3.905952148,-5.481768272,18.318599692,replica13,-5.698414426469064
182,3.92359663,-5.167717468,17.032894602,replica13,-5.506953699711218
183,3.941241111,-4.888067441,14.505800414,replica13,-5.305400376259598
184,3.958885593,-4.658672078,11.483268164,replica13,-5.096110454671944
185,3.976530074,-4.481082934,8.750670283,replica13,-4.881774595374836
186,3.994174556,-4.344636828,6.897312712,replica13,-4.665342462317994
187,4.011819037,-4.231860166,6.057742786,replica13,-4.449937347395206
188,4.029463519,-4.126029843,6.028324296,replica13,-4.238763372940326
189,4.047108,-4.017066179,6.347394205,replica13,-4.035007874982284
190,4.064752481,-3.902168751,6.647347583,replica13,-3.841741808491605
191,4.082396963,-3.783068731,6.85246153,replica13,-3.661821187753418
192,4.100041444,-3.658997398,7.286991819,replica13,-3.497792657364272
193,4.117685926,-3.523476261,8.146950274,replica13,-3.3518062871024483
194,4.135330407,-3.370374208,9.188879729,replica13,-3.225538588725442
195,4.152974889,-3.203594733,9.506899819,replica13,-3.120128558021406
196,4.17061937,-3.044741326,8.156669555,replica13,-3.036129258809865
197,4.188263852,-2.928312199,4.733856092,replica13,-2.973477084245772
198,4.205908333,-2.885112341,0.062661462,replica13,-2.9314803639387463
199,4.223552815,-2.924953674,-4.401715819,replica13,-2.9088284385720016
200,4.241197296,-3.029599524,-7.050738877,replica13,-2.9036217101477604
201,4.258841778,-3.157961289,-7.055956842,replica13,-2.9134225109300047
202,4.276486259,-3.265006953,-4.767234917,replica13,-2.9353259287139792
203,4.294130741,-3.319066948,-1.274021844,replica13,-2.9660490056957656
204,4.311775222,-3.31071511,2.087408477,replica13,-3.002036008347037
205,4.329419704,-3.252635152,4.234073844,replica13,-3.0395767716503883
206,4.347064185,-3.170527119,4.830818559,replica13,-3.074934473548926
207,4.364708667,-3.089279821,4.241371241,replica13,-3.104478623332401
208,4.382353148,-3.023052337,3.293010706,replica13,-3.1248185680065745
209,4.39999763,-2.969953841,2.859596063,replica13,-3.132932464013713
210,4.417642111,-2.916738631,3.326398424,replica13,-3.1262864495767246
211,4.435286593,-2.848739683,4.441683783,replica13,-3.102938700450693
212,4.452931074,-2.760300485,5.51134142,replica13,-3.06162318885724
213,4.470575556,-2.659030069,5.808859843,replica13,-3.00180829803368
214,4.488220037,-2.561411581,5.094725168,replica13,-2.923725992086503
215,4.505864519,-2.483989521,3.603401556,replica13,-2.828368007934756
216,4.523509,-2.434942505,1.978461058,replica13,-2.7174465300930706
217,4.541153481,-2.411625267,0.808605559,replica13,-2.5933180276136625
218,4.558797963,-2.401074272,0.565827117,replica13,-2.458870368173393
219,4.576442444,-2.385808435,1.31160286,replica13,-2.3173749685628593
220,4.594086926,-2.350331618,2.789602124,replica13,-2.17230757392565
221,4.611731407,-2.286531488,4.388520371,replica13,-2.027143256667415
222,4.629375889,-2.198322721,5.498516864,replica13,-1.8851333597781377
223,4.64702037,-2.096229899,5.987875314,replica13,-1.7490743452080721
224,4.664664852,-1.987825413,6.33884212,replica13,-1.6210808036744595
225,4.682309333,-1.86883418,7.301070604,replica13,-1.5023771889045179
226,4.699953815,-1.724511339,9.217076881,replica13,-1.3931251120564099
227,4.717598296,-1.540500676,11.662154739,replica13,-1.2923052110810858
228,4.735242778,-1.31545756,13.697243004,replica13,-1.1976746385727495
229,4.752887259,-1.064843435,14.456103081,replica13,-1.1058230286191417
230,4.770531741,-0.814537823,13.680285418,replica13,-1.0123513491735636
231,4.788176222,-0.589069132,11.736308067,replica13,-0.9121992574918494
232,4.805820704,-0.403533723,9.264192084,replica13,-0.8001473857696197
233,4.823465185,-0.261910557,6.832050769,replica13,-0.6715213442973849
234,4.841109667,-0.160503479,4.734307189,replica13,-0.5231240712135943
235,4.858754148,-0.09226971,3.071246114,replica13,-0.3544224369084503
236,4.87639863,-0.049351654,1.857745318,replica13,-0.16901268145618786
237,4.894043111,-0.024429657,1.034134449,replica13,0.023612719554023442
238,4.911687593,-0.011093341,0.528196083,replica13,0.20597682378677007
239,4.929332074,-0.004463936,0.249856021,replica13,0.3501920515498256
240,4.946976556,-0.001562153,0.098614936,replica13,0.4151835749465107
241,4.964621037,-0.000446453,0.03372383,replica13,0.3435545468810375
242,4.982265519,-8.3142e-05,0.010574891,replica13,0.058090932355753466
243,4.99991,-0.0,0.001367696,replica13,-0.542090148715971
0,0.740648,-0.0,-0.0,replica15,-0.2859985139614082
1,0.758307801,-9.742e-05,-0.010054351,replica15,-0.26681256132024467
2,0.775967602,-0.000564888,-0.050315797,replica15,-0.2498439885419796
3,0.793627402,-0.002301273,-0.162801273,replica15,-0.23089194213067746
4,0.811287203,-0.007004531,-0.399820488,replica15,-0.20734367659302375
5,0.828947004,-0.017586549,-0.840495083,replica15,-0.17866367656892101
6,0.846606805,-0.038604726,-1.60076379,replica15,-0.14675655106207494
7,0.864266606,-0.076495139,-2.7482916,replica15,-0.11617103240035725
8,0.881926407,-0.137700514,-4.241709151,replica15,-0.09412227203117088
9,0.899586207,-0.228273727,-6.049971561,replica15,-0.09032134286375013
10,0.917246008,-0.35249422,-8.05147291,replica15,-0.11661366655296507
11,0.934905809,-0.514383062,-10.341065991,replica15,-0.18644112812388222
12,0.95256561,-0.720609135,-13.109427447,replica15,-0.3141550334134422
13,0.970225411,-0.980969951,-16.473552632,replica15,-0.5142179511583835
14,0.987885212,-1.304857611,-20.235305781,replica15,-0.8003410952900629
15,1.005545012,-1.695032853,-23.909624601,replica15,-1.1846096218824296
16,1.023204813,-2.146904588,-27.202314405,replica15,-1.6766506049888568
17,1.040864614,-2.654341999,-30.289353905,replica15,-2.282897301697495
18,1.058524415,-3.219310012,-33.853921928,replica15,-3.0059986409504136
19,1.076184216,-3.857777432,-38.691385684,replica15,-3.844414931854371
20,1.093844017,-4.593065679,-44.726020215,replica15,-4.792230065549821
21,1.111503817,-5.439661049,-51.134646486,replica15,-5.8391976507891705
22,1.129163618,-6.398003655,-57.32075554,replica15,-6.9710243940486984
23,1.146823419,-7.462757391,-63.264669218,replica15,-8.169879519033483
24,1.16448322,-8.635055501,-69.59490472,replica15,-9.415105057741364
25,1.182143021,-9.924798575,-76.496625367,replica15,-10.684089343802704
26,1.199802822,-11.333431756,-82.709719812,replica15,-11.953255813615847
27,1.217462622,-12.827777542,-85.784990469,replica15,-13.199111939124919
28,1.235122423,-14.333215492,-83.789671265,replica15,-14.399299252708161
29,1.252782224,-15.757514623,-76.799835937,replica15,-15.533585230151333
30,1.270442025,-17.028871547,-66.948599341,replica15,-16.584741282027316
31,1.288101826,-18.122313186,-57.045008234,replica15,-17.539258036183384
32,1.305761627,-19.053479498,-48.689489482,replica15,-18.387859019046807
33,1.323421427,-19.849374474,-41.547045612,replica15,-19.125786112370754
34,1.341081228,-20.518597319,-34.068723472,replica15,-19.75284397700152
35,1.358741029,-21.044561709,-25.216699529,replica15,-20.27320510328266
36,1.37640083,-21.401153839,-14.976115325,replica15,-20.69499134082016
37,1.394060631,-21.570891112,-4.357017076,replica15,-21.029660777470383
38,1.411720432,-21.562954906,4.876382721,replica15,-21.29123986416122
39,1.429380232,-21.416783976,11.089435483,replica15,-21.495449043972904
40,1.447040033,-21.193364758,13.563386439,replica15,-21.658775349385085
41,1.464699834,-20.960245065,12.208073486,replica15,-21.79754720289055
42,1.482359635,-20.785512286,6.974689428,replica15,-21.92706494457455
43,1.500019436,-20.735781077,-1.987859409,replica15,-22.0608355960993
44,1.517679237,-20.876524835,-14.454047629,replica15,-22.209952447554492
45,1.535339037,-21.258996047,-28.925725289,replica15,-22.382649799113832
46,1.552998838,-21.889238344,-41.789442725,replica15,-22.584051322296414
47,1.570658639,-22.699597194,-48.631150727,replica15,-22.816117835604313
48,1.58831844,-23.553433867,-46.516103753,replica15,-23.077787660774504
49,1.605978241,-24.29530112,-36.503058196,replica15,-23.365290960340804
50,1.623638041,-24.823282347,-23.262784836,replica15,-23.672609298361074
51,1.641297842,-25.132325837,-12.503768325,replica15,-23.992043731425234
52,1.658957643,-25.297676956,-7.163545813,replica15,-24.314849478611585
53,1.676617444,-25.413509692,-6.49285004,replica15,-24.631892897146564
54,1.694277245,-25.535881373,-7.391250898,replica15,-24.934287160481034
55,1.711937046,-25.667522885,-7.166125118,replica15,-25.213966549218416
56,1.729596846,-25.775675077,-4.62666523,replica15,-25.46416528675984
57,1.747256647,-25.818810671,-0.045620757,replica15,-25.679774884821356
58,1.764916448,-25.7721408,5.361899321,replica15,-25.85756339206107
59,1.782576249,-25.631792072,10.360428312,replica15,-25.996250069715582
60,1.80023605,-25.417527189,13.488824541,replica15,-26.096439134156167
61,1.817895851,-25.174738892,13.324356179,replica15,-26.160425615999262
62,1.835555651,-24.975334875,8.455284175,replica15,-26.191894470238978
63,1.853215452,-24.903598554,-0.988734095,replica15,-26.19554032727395
64,1.870875253,-25.024929384,-12.871121908,replica15,-26.176639342032352
65,1.888535054,-25.352490159,-23.664654154,replica15,-26.140606285496055
66,1.906194855,-25.830053969,-29.316854562,replica15,-26.09256931228152
67,1.923854656,-26.344047028,-27.60987611,replica15,-26.036991882147372
68,1.941514456,-26.763674351,-18.960418585,replica15,-25.97736641848997
69,1.959174257,-26.990652716,-6.450390466,replica15,-25.915997885565037
70,1.976834058,-26.993496259,5.73819116,replica15,-25.85388808180051
71,1.994493859,-26.810756859,14.157928486,replica15,-25.7907236526211
72,2.01215366,-26.521937382,17.713994352,replica15,-25.72496320285957
73,2.029813461,-26.209459547,17.183796038,replica15,-25.65401198047976
74,2.047473261,-25.923365001,15.205343973,replica15,-25.57446688007309
75,2.065133062,-25.664357353,14.482326108,replica15,-25.4824103403504
76,2.082792863,-25.397792654,16.104479918,replica15,-25.373729319395697
77,2.100452664,-25.088102677,18.973516542,replica15,-25.244435017660503
78,2.118112465,-24.733590476,20.836829589,replica15,-25.090960330809576
79,2.135772266,-24.367612385,20.145864292,replica15,-24.91041496726454
80,2.153432066,-24.037392975,17.034766697,replica15,-24.700782457602227
81,2.171091867,-23.767490642,13.614934174,replica15,-24.461048525125772
82,2.188751668,-23.549546609,11.362481447,replica15,-24.191256033370745
83,2.206411469,-23.356648244,10.71630408,replica15,-23.892487511725484
84,2.22407127,-23.165214554,11.072503009,replica15,-23.566781636141133
85,2.241731071,-22.964058208,11.790807064,replica15,-23.216994610263217
86,2.259390871,-22.744086655,13.279152009,replica15,-22.846620835279747
87,2.277050672,-22.487167995,15.997840502,replica15,-22.459589358274055
88,2.294710473,-22.175303638,19.230988198,replica15,-22.06005324811579
89,2.312370274,-21.816205775,20.966755225,replica15,-21.652188283427453
90,2.330030075,-21.455139667,19.321665541,replica15,-21.240015281222608
91,2.347689876,-21.151823941,14.748275216,replica15,-20.827257279144344
92,2.365349676,-20.933121539,10.342611565,replica15,-20.417238918140374
93,2.383009477,-20.762070066,9.975277369,replica15,-20.012831115296553
94,2.400669278,-20.543792024,15.777200174,replica15,-19.616439847135258
95,2.418329079,-20.175190762,26.481193721,replica15,-19.230033948434322
96,2.43598888,-19.604230925,37.889106465,replica15,-18.855203594885765
97,2.45364868,-18.859684536,45.463094696,replica15,-18.493238836183334
98,2.471308481,-18.03826029,46.396515792,replica15,-18.145216348354168
99,2.488968282,-17.259333207,40.878297721,replica15,-17.812082549633907
