,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
0,1.8267,-0.0,-0.0,replica13,0.8123282517578518
1,1.844366198,-0.000108932,-0.021816648,replica13,-0.47277148735082086
2,1.862032396,-0.001196717,-0.109356114,replica13,-0.8370491843823933
3,1.879698594,-0.004722866,-0.33386938,replica13,-0.6401194522735221
4,1.897364792,-0.014910556,-0.890005988,replica13,-0.17831912245301362
5,1.91503099,-0.039666971,-2.029285867,replica13,0.31340378628883636
6,1.932697188,-0.092758652,-4.195509653,replica13,0.6579765669597372
7,1.950363385,-0.198283311,-8.078436804,replica13,0.7313554557688196
8,1.968029583,-0.391911245,-14.283505605,replica13,0.45665672033169047
9,1.985695781,-0.72298012,-23.832108525,replica13,-0.20241835710294387
10,2.003361979,-1.259804211,-37.779807903,replica13,-1.2485539699716295
11,2.021028177,-2.090211318,-57.179257112,replica13,-2.657891802285995
12,2.038694375,-3.313392874,-82.219847766,replica13,-4.386936776306017
13,2.056360573,-5.021133565,-111.629592715,replica13,-6.379062690526974
14,2.074026771,-7.262289511,-141.793707611,replica13,-8.570423764706668
15,2.091692969,-10.001207157,-166.89381226,replica13,-10.895121882342918
16,2.109359167,-13.092085808,-180.721713,replica13,-13.289524987437218
17,2.127025365,-16.294303927,-179.04511508,replica13,-15.695677687247466
18,2.144691563,-19.325311221,-161.802992869,replica13,-18.063788806208652
19,2.16235776,-21.948010241,-133.989252028,replica13,-20.353820800663062
20,2.180023958,-24.048066424,-104.182756765,replica13,-22.536241209706198
21,2.197690156,-25.666977313,-80.694430426,replica13,-24.592025614281276
22,2.215356354,-26.965614449,-68.270649191,replica13,-26.51202416134388
23,2.233022552,-28.142458451,-66.43019945,replica13,-28.295819177433174
24,2.25068875,-29.349150088,-70.705597753,replica13,-29.950209675993232
25,2.268354948,-30.642145774,-75.311307452,replica13,-31.487459901652905
26,2.286021146,-31.991007735,-76.789743789,replica13,-32.92344398482166
27,2.303687344,-33.337245165,-75.272469677,replica13,-34.2758080782185
28,2.321353542,-34.647946634,-73.309513843,replica13,-35.562255984395755
29,2.33901974,-35.944892952,-74.166140303,replica13,-36.799045369669514
30,2.356685937,-37.29156153,-78.951746409,replica13,-37.99976038397217
31,2.374352135,-38.748745617,-86.141384515,replica13,-39.17440407753076
32,2.392018333,-40.326900285,-91.989740014,replica13,-40.328831596701676
33,2.409684531,-41.96980398,-92.932671206,replica13,-41.46452383747297
34,2.427350729,-43.569025217,-86.921242225,replica13,-42.57868198770583
35,2.445016927,-45.001962977,-74.421112637,replica13,-43.66460698071586
36,2.462683125,-46.171727248,-57.520607885,replica13,-44.71231490087677
37,2.480349323,-47.023409062,-38.834079298,replica13,-45.709330203504024
38,2.498015521,-47.551669726,-21.540055855,replica13,-46.641593398695385
39,2.515681719,-47.811145665,-8.877899555,replica13,-47.494418554863074
40,2.533347917,-47.909869117,-3.671083123,replica13,-48.25343836259545
41,2.551014115,-47.986790707,-6.258320291,replica13,-48.90548015344608
42,2.568680313,-48.163847203,-14.363234697,replica13,-49.43932464407361
43,2.58634651,-48.501108993,-23.612607918,replica13,-49.846309623673
